recipe,rel,material
冰糖荔枝,contains,荔枝
五香西芹,contains,西芹
菠菜炒豆芽,contains,黄豆芽
冬菇炒茼蒿,contains,茼蒿
鲜蘑玉兰片,contains,蘑菇(鲜蘑)
口蘑炒玉兰片,contains,口蘑
木耳炒豆腐皮,contains,油皮
腐干炒蒜苗,contains,豆腐干
葱油炒黄豆芽,contains,黄豆芽
青椒玉米,contains,玉米（鲜）
青辣椒炒玉米,contains,玉米（鲜）
豆腐干拌白菜心,contains,豆腐干
香椿拌干丝,contains,豆腐干
凉拌笋菇,contains,莴笋
荠菜拌豆腐,contains,荠菜
芝麻笋片,contains,莴笋
酱香豆腐干,contains,豆腐干
芙蓉煨菜花,contains,菜花
腐竹烧香菇,contains,香菇（鲜）
红烧豆腐泡,contains,油豆腐
砂锅白菜粉条汤,contains,白菜
白滑豆腐汤,contains,豆腐
三丝豆苗汤,contains,豌豆苗
炒素肉片,contains,蘑菇(鲜蘑)
粉蒸芋球,contains,芋头
香干白菜心,contains,大白菜(小白口)
豉油皇蒸红鱼,contains,罗非鱼
韭菜花炒墨鱼,contains,墨鱼
冬笋炒鸡片,contains,鸡肉
菜远炒鸡片,contains,鸡肉
蒜苗鸡条,contains,鸡肉
豆苗炒鸡丝,contains,鸡肉
蚝油煎双菇,contains,草菇
蒸素鸡,contains,素鸡
金华豆腐,contains,豆腐
老少平安,contains,鲮鱼
牛肉蒸豆腐,contains,豆腐
珍珠玉米笋,contains,玉米笋（罐装）
五彩白菜丝,contains,白菜
木耳豆腐,contains,豆腐
咖喱鸡块,contains,鸡
鱼圆汤,contains,青鱼
川味棒棒鸡,contains,鸡胸脯肉
凉拌白菜丝,contains,白菜
翡翠豆腐汤,contains,豆腐
海米烩豆腐,contains,豆腐
鲜菇凤豆肉片汤,contains,大豆
香菇豆腐汤,contains,豆腐
百花豆腐,contains,豆腐
冬笋炝黄豆芽,contains,黄豆芽
排骨柴鱼汤,contains,节瓜
八宝豆腐羹,contains,豆腐
扣蒸滑肉,contains,猪肉（后臀尖）
毛豆炒豆腐,contains,毛豆
雪花鸡焯,contains,鸡胸脯肉
潺菜鱼滑汤,contains,木耳菜
通草鲫鱼汤,contains,鲫鱼
什锦玉米,contains,玉米（鲜）
糟素鹅皮,contains,腐竹
苋菜豆腐羹,contains,苋菜(紫)
外婆乡村鸡,contains,乌骨鸡
铁观音炖仔鸡,contains,鸡
银鱼羊肉丝,contains,羊里脊
炸溜鳜鱼,contains,鳜鱼
辣豉千张,contains,油皮
七彩香菇,contains,香菇（鲜）
拌豌豆苗,contains,豌豆苗
菱形豆腐,contains,豆腐(南)
酱焖丝瓜,contains,丝瓜
素笋汤,contains,冬笋
双枣元菜,contains,香菇（鲜）
吉列明虾卷,contains,明虾
豆腐蟹黄羹,contains,豆腐
青蒸茶鲫鱼,contains,鲫鱼
鸡油蒸鳊鱼,contains,武昌鱼
鸭架栗子白菜汤,contains,鸭骨
番茄黄焖鸡块,contains,鸡肉
鸭骨玉兰片汤,contains,鸭骨
炸羊排（一）,contains,羊排
醋熘鳜鱼,contains,鳜鱼
砂锅豆腐（一）,contains,豆腐
