recipe,rel,material
蒸兔肉,contains,白菜
花旗参蒸乳鸽,contains,西洋参
蒸鱼豆花,contains,花生仁（炸）
竹荪煮草鸡,contains,火腿
山楂麦芽鸭肾汤,contains,山楂
粟米汤,contains,豆腐干
鸡蓉菠菜羹,contains,鸡蛋清
竹笙笋鸡,contains,香菇（鲜）
清水菜头卷,contains,鸡蛋
奶汤鱼头,contains,香菇（干）
酸菜煮草鱼,contains,柿子椒
红薯蒸牛肉,contains,蒸肉粉
炒鸽脯,contains,鸡腿蘑(干)
肉末海参,contains,香米
川味炖豆腐,contains,火腿
小豆腐炒虾皮,contains,鸡蛋
蘑菇鸡丁奶油汤,contains,小麦面粉
冬笋牛腱肉,contains,冬笋
核桃肉苁蓉炖鸡,contains,核桃
清蒸狮子头,contains,冬笋
腊味南瓜蒸,contains,南瓜
牡丹花蒸鱼,contains,糯米粉
百花蒸豆腐,contains,猪里脊肉
北派蒸菜,contains,小麦面粉
砂锅珍珠豆腐,contains,鸡蛋清
鹌鹑山药汤,contains,山药
鹌鹑笋菇汤,contains,冬笋
鲤鱼山楂汤,contains,山楂
红花黑豆鲶鱼汤,contains,红花
陈皮黄鱼汤,contains,猪肉(瘦)
清炒山药丝,contains,红辣椒
芙蓉口蘑,contains,素火腿
豆腐熬海带,contains,海带(鲜)
豉汁熬豆腐,contains,紫菜(干)
海米香干芹菜,contains,虾米
银芽牛肉,contains,芹菜
芝麻油菜,contains,芝麻
什锦汤,contains,油炒面
芙蓉口蘑汤,contains,鸡蛋
肉丝豆腐羹,contains,冬笋
白菜炖豆腐,contains,虾米
油豆腐炒小白菜,contains,大蒜
白菜豆腐汤,contains,豆腐
韭菜花拌豆腐,contains,香菜
青椒苤蓝丝,contains,青椒
冬笋拌豆芽,contains,火腿肠
拔丝茄子,contains,鸡蛋
熘冬瓜片,contains,菠菜
冻粉鸡丝,contains,火腿肠
砂锅鱼头,contains,猪肉(瘦)
香糟豆腐,contains,香糟
煨氽里脊片,contains,白菜
素烩豆腐,contains,黄瓜
蒜苗炒香干,contains,柿子椒
芝麻香干,contains,黑芝麻
清炖肉,contains,菠菜
红烧牛肉,contains,蒜苔
荷花白菜,contains,豆腐
海米炒油平菇,contains,虾米
烧包菜丝,contains,虾米
烧茄子,contains,鸡蛋
素红烧肉,contains,鸡蛋
水粉圆子,contains,粉丝
肉片番茄烧茄子,contains,猪肉(瘦)
肉丝白菜,contains,香菜
白菜豆腐拌牛肉,contains,香菜
黄瓜拌兔丝,contains,黄瓜
椒麻鸡丁,contains,土豆
拌双鸡丝,contains,琼脂
虾皮豆腐,contains,虾皮
豆腐虾肉丸,contains,鸡蛋
软烂牛蹄筋,contains,油菜心
鱼头豆腐汤,contains,豆腐
紫米八宝鸭,contains,糯米(紫)
老厨白菜,contains,粉皮
西兰拌虾球,contains,胡萝卜
金菇拌蜇皮,contains,大葱
柿椒拌豆角,contains,柿子椒
海鲜拌菜花,contains,虾米
冰糖荔枝,contains,鸡蛋
五香西芹,contains,香菇（干）
青椒玉米,contains,青椒
青辣椒炒玉米,contains,辣椒(青、尖)
豆腐干拌白菜心,contains,香菜
香椿拌干丝,contains,香椿
腐竹烧香菇,contains,油菜心
红烧豆腐泡,contains,冬笋
砂锅白菜粉条汤,contains,蘑菇(鲜蘑)
白滑豆腐汤,contains,鸡蛋
炒素肉片,contains,小白菜
香干白菜心,contains,香菜
豉油皇蒸红鱼,contains,红辣椒
韭菜花炒墨鱼,contains,木耳(干)
蒜苗鸡条,contains,冬笋
蚝油煎双菇,contains,香菇（鲜）
蒸素鸡,contains,香菇（鲜）
金华豆腐,contains,油菜薹
老少平安,contains,香菇（鲜）
牛肉蒸豆腐,contains,胡萝卜
珍珠玉米笋,contains,银耳(干)
木耳豆腐,contains,木耳(干)
咖喱鸡块,contains,洋葱
鱼圆汤,contains,冬笋
凉拌白菜丝,contains,虾米
翡翠豆腐汤,contains,香菇（鲜）
海米烩豆腐,contains,虾米
鲜菇凤豆肉片汤,contains,胡萝卜
香菇豆腐汤,contains,冬笋
排骨柴鱼汤,contains,枣（干）
扣蒸滑肉,contains,鸡蛋
雪花鸡焯,contains,金华火腿
通草鲫鱼汤,contains,通草
什锦玉米,contains,松子（炒）
糟素鹅皮,contains,香菜
苋菜豆腐羹,contains,香菇（鲜）
外婆乡村鸡,contains,竹笋
铁观音炖仔鸡,contains,茶叶
银鱼羊肉丝,contains,黄花菜
炸溜鳜鱼,contains,猪肉(瘦)
辣豉千张,contains,豆豉
七彩香菇,contains,木耳(干)
菱形豆腐,contains,土豆
酱焖丝瓜,contains,素鸡
素笋汤,contains,木耳(干)
双枣元菜,contains,枣（干）
吉列明虾卷,contains,火腿肠
豆腐蟹黄羹,contains,丝瓜
青蒸茶鲫鱼,contains,绿茶
鸡油蒸鳊鱼,contains,香菜
鸭架栗子白菜汤,contains,栗子（鲜）
番茄黄焖鸡块,contains,鸡蛋
鸭骨玉兰片汤,contains,玉兰片
醋熘鳜鱼,contains,青蒜
砂锅豆腐（一）,contains,猪肉(肥瘦)
砂锅豆腐（二）,contains,猪肉(瘦)
一品砂锅汤,contains,草鱼
猪尾浓汤,contains,胡萝卜
山药豆腐丸,contains,香菇（鲜）
菠菜汆丸子,contains,鸡蛋清
酱茄泥,contains,香菇（鲜）
蟹香豆腐,contains,蟹肉
鲜贝蒸豆腐,contains,鲜贝
熘豆腐,contains,鸡蛋
虾皮粉丝海带汤,contains,虾皮
虾仁仙人掌汤,contains,仙人掌
